indicator,type,first_seen,last_seen,comment
129.211.34.193,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
139.5.145.19,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
182.224.54.184,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
220.134.121.164,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
47.100.199.132,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
47.113.101.153,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
49.159.109.217,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
58.232.91.6,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
78.107.195.238,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
78.119.125.219,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
78.67.149.10,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
86.252.78.9,ipv4,3/14/2020,3/24/2020,"H2Miner,compromised host"
118.25.68.127,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
121.36.19.122,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
139.9.237.75,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
175.24.100.92,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
185.209.31.122,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
187.62.194.102,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
192.144.237.222,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
203.195.194.121,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
39.105.71.4,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
47.107.41.91,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
49.232.161.245,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
83.197.95.94,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
95.31.130.16,ipv4,3/13/2020,3/24/2020,"H2Miner,compromised host"
101.132.122.14,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
106.13.137.19,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
106.13.233.156,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
106.14.44.180,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
111.229.155.28,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
119.23.215.194,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
119.3.62.91,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
120.132.26.154,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
134.175.80.237,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
147.46.78.133,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
183.15.181.57,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
35.224.189.171,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
78.225.63.127,ipv4,3/12/2020,3/24/2020,"H2Miner,compromised host"
106.12.51.245,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
106.54.155.179,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
111.250.139.93,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
114.116.69.110,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
116.62.112.233,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
121.37.247.57,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
149.248.0.132,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
212.64.104.93,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
24.132.219.79,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
47.103.27.243,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
49.235.139.188,ipv4,3/11/2020,3/24/2020,"H2Miner,compromised host"
123.57.128.164,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
13.251.254.238,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
175.24.76.254,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
202.166.176.21,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
218.146.18.154,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
218.164.121.205,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
220.134.11.124,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
39.106.210.22,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
47.111.95.94,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
49.235.164.73,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
58.132.200.4,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
69.167.24.27,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
71.172.244.85,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
75.159.166.148,ipv4,3/10/2020,3/24/2020,"H2Miner,compromised host"
106.13.123.236,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
111.229.237.85,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
116.22.50.94,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
122.112.224.39,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
193.153.186.18,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
47.93.49.161,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
49.234.14.77,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
52.4.219.198,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
81.50.242.180,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
90.84.41.206,ipv4,3/9/2020,3/24/2020,"H2Miner,compromised host"
118.25.250.64,ipv4,3/8/2020,3/24/2020,"H2Miner,compromised host"
121.36.174.170,ipv4,3/8/2020,3/24/2020,"H2Miner,compromised host"
183.214.161.24,ipv4,3/8/2020,3/24/2020,"H2Miner,compromised host"
218.237.41.216,ipv4,3/8/2020,3/24/2020,"H2Miner,compromised host"
219.68.73.224,ipv4,3/8/2020,3/24/2020,"H2Miner,compromised host"
47.114.128.221,ipv4,3/8/2020,3/24/2020,"H2Miner,compromised host"
106.13.39.40,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
106.15.57.160,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
111.250.139.192,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
114.55.106.21,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
125.32.114.209,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
13.58.237.61,ipv4,3/7/2020,3/24/2020,"H2Miner,compromised host"
