indicator,Type,first_seen,last_seen,comment
d9bdb3a75d64ef92d44499723ef411f0b3898689e2a143f6da5de274fadac1f5,sha256,4/19/2021,4/20/2021,Keksec - Simps
736407142ccc5333bf9b3c8bfbee1067fa97133e83a5e48a98ead37aeb764c34,sha256,4/27/2021,4/27/2021,Keksec - Simps
04e18b9d8d38ccdcb8ea83c89505adfa1df6a680b4f2a7d70632aada4997042f,sha256,5/4/2021,5/4/2021,Keksec - Simps
396c4aecd1e066094d2cb676b848cb37c628f9715d9cdc63f88f310e2ccb1d99,sha256,4/27/2021,5/3/2021,Keksec - Simps
71f43238759f4710bde4b8e3f5fdc9e4fad7f9914c6c49bf0192c9910e7312d8,sha256,5/19/2021,5/19/2021,Keksec - Simps
a6d96c7eb84dd8b3bce259b50af16c902f4ef3a076df341931d94b3dea7b41fd,sha256,4/12/2021,4/12/2021,Keksec - Simps
dd6eecb2c6c115ad837a14315be0140f99a19679b5ce1cf822b36e0bebf2506e,sha256,5/2/2021,5/2/2021,Keksec - Simps
f021bf6e2ab701110a5b6762ae4a4007dea5566ac63cf221b69f25454cea3aab,sha256,4/27/2021,5/4/2021,Keksec - Simps
b773f11b664ee2e326d79125c348d823c0f48abd15051c04fd69d489eb9470d9,sha256,4/12/2021,4/12/2021,Keksec - Simps
c727c9cd6a2db150432d7a865b63523badb8b6bccc202febd35eefe1bee476d3,sha256,6/5/2021,6/5/2021,Keksec - Simps
70fe1172b79437d55e539f98b175823afa42226a1b159c5fde88ce5630b72f8a,sha256,4/10/2021,4/10/2021,Keksec - Simps
310950a909c967ade85cf95413fbe28a1c63a43a249479adc7f1ba1bda9e2748,sha256,4/12/2021,4/14/2021,Keksec - Simps
2770e91c7f6dd28838b413e98ad17533fc7634fc39229f3533ca24de625ee9ab,sha256,4/27/2021,5/3/2021,Keksec - Simps
96ac60af5ed2325d6464c39ba82e4f529fa34e05fef063274fb10b595b8f5d27,sha256,4/12/2021,4/12/2021,Keksec - Simps
f77b485b775d44628cabb6a03ea3c6edf6a275f8a6f1d80d5ae7d7a7d17571bc,sha256,4/9/2021,4/9/2021,Keksec - Simps
aa44514b916511bdd571bc1411525d96900056dbac5187b29e959f31a14ba358,sha256,4/9/2021,4/9/2021,Keksec - Simps
4d8ac45e422d511adf7c40f1fb2bdcf767477145086d0acd7e216fe352112461,sha256,4/9/2021,4/9/2021,Keksec - Simps
265439fbf479e79d4d0bc369af21100cf7b70e61aed8463724c2f0deccac2eea,sha256,4/12/2021,4/12/2021,Keksec - Simps
87ee3edc6584ed7ef00d9866a2c700a13278635d8190f35caae31b64be578cb1,sha256,5/4/2021,5/6/2021,Keksec - Simps
28cbb0ca6d8b7eed4471f5c6c2d2dfdbfed3acab319523fb3611d3dff539d992,sha256,4/17/2021,4/17/2021,Keksec - Simps
7b254d0213c7e5d5b2babf71fa8170e3a12ddee8be46990454d50cdb6c992655,sha256,4/13/2021,4/13/2021,Keksec - Simps
601fb374cfee398b68c06043cdb103ebf9bce0e59a9d9669267acbfc70f5edf9,sha256,4/12/2021,4/12/2021,Keksec - Simps
654d903e55cb9b05690aeaeb744d2abf26b8733e9fd80cef79ddb8b3d86c2ba3,sha256,4/21/2021,4/23/2021,Keksec - Simps
45dda743b2c85f0bda113a271dad2e27c059bbacbbd083e420bf6777610c1f12,sha256,5/4/2021,5/6/2021,Keksec - Simps
0c01b66159e27fb9205f01e5c5e5890d31b55a44cc72e2b587c678e2ed1c2c73,sha256,4/13/2021,4/13/2021,Keksec - Simps
62785107edd52abf09f0b55ec804bcbfe244e51dad30c6a13eb9e69ee36cd9fe,sha256,4/13/2021,4/13/2021,Keksec - Simps
215aa7c61debb03323b1870a06939e315874d8a72a72cc985b93664c22a07137,sha256,6/5/2021,6/5/2021,Keksec - Simps
83be07e6ff3e8eea852e48a1279b89b811b1d9821d67a6cb3d2303f900470c2c,sha256,6/5/2021,6/5/2021,Keksec - Simps
6228fe09ee7870de5aa8039fe69d832273c2ac80da3950d41047e75517fb21c3,sha256,6/5/2021,6/5/2021,Keksec - Simps
d83d2ad83887428312847b22afbef6feb7e39a4674567c15ad2e2da404ff482e,sha256,4/12/2021,4/13/2021,Keksec - Simps
0376ce8c787450e7193c6c03fe4760820d3a377ce4dba1dd7f57b4be230e369f,sha256,4/12/2021,4/13/2021,Keksec - Simps
6b39c48cd1fb7ce01095f141713e8ba9981ff9f42fb5dc3b04770ec7fa651bf1,sha256,5/19/2021,5/19/2021,Keksec - Simps
fa7d298592ae51735aee2d264516fc03bfbe054aa1a675712c62b5e3398708ec,sha256,5/19/2021,5/19/2021,Keksec - Simps
32ca287aea65b820abedb34b335a2e3c6f27ecb69a82607e9f8b6f47d62d97be,sha256,4/12/2021,4/12/2021,Keksec - Simps
a883cb8e75dcbab873783f539f861c1df2099dca7fb034217195265d88117515,sha256,6/1/2021,6/2/2021,Keksec - Simps
38baf5b505071319261cef6e3de51e129e632a26d340567bda44d779bae8dbb0,sha256,5/19/2021,5/19/2021,Keksec - Simps
1d11113817754514aa84888b2e1a476ddf2da82064f75d4521e70bb076602117,sha256,5/19/2021,5/19/2021,Keksec - Simps
7b34685aa60509128ceb80ac11cdfa5871b7e0ce6ea5631b897d3a9dec0db071,sha256,5/4/2021,5/4/2021,Keksec - Simps
4acd88a5057c70913a4748b8ab6e0bea44415f755df0dc44e51450b6f095894a,sha256,5/19/2021,5/19/2021,Keksec - Simps
8d436e48380a0914ccef593c73afe191b41e24963d1888cf9aba995ac8d0aed2,sha256,4/12/2021,4/12/2021,Keksec - Simps
b1bc0ff1f6b1f17a6011d772628b82eaf0161ba359bc0fbd769fced245e0c296,sha256,6/5/2021,6/5/2021,Keksec - Simps
1afc42e245120c39c0dce29f23dfea823f6b80d6d57cf67d671f104421e3e0cc,sha256,6/5/2021,6/5/2021,Keksec - Simps
e5dc58d465f70eafac199cf747f21c46b21bfb8598ceec7865bbe51d66bc12d9,sha256,6/5/2021,6/5/2021,Keksec - Simps
df94253ed219327bfa2df57038a9851e2ac9ff4eb9dce8f95c497207d16973c2,sha256,6/5/2021,6/5/2021,Keksec - Simps
697a6a045c04e65fcb4ad4d576a1dd013e4f50aa69f0ddd42678a163dcad7f73,sha256,6/5/2021,6/5/2021,Keksec - Simps
14e6ddcd00d75ae614a1f92bfcb11b9c309e6c440f345ee33944a344318f8cbc,sha256,6/5/2021,6/5/2021,Keksec - Simps
fe62f129c8480846c029b996d666913ae7d303653675bd9af08f286ea3fa4591,sha256,4/14/2021,4/15/2021,Keksec - Simps
00b5969f5389664b58ae917ba724172a9989dc7645aeeba189df88ba2e567122,sha256,5/19/2021,5/19/2021,Keksec - Simps
c35c7bbfddc57eefe142d8670c268e115a2a4a00b085441f293ed3e53e7afcae,sha256,4/12/2021,4/12/2021,Keksec - Simps
4538309c86fbd2cdf1f654d6094ad0533db4e8840565804a35c85136e424a740,sha256,4/12/2021,4/12/2021,Keksec - Simps
e462b8ee32a59b5b801357e376ca6eee7dad930e9e0f88b161363b0ceee25589,sha256,4/12/2021,4/12/2021,Keksec - Simps
6f2b37aa916d0a8e43f7729e69aac3e6636168ed3c43cf44d943af62c5a7dc79,sha256,5/22/2021,5/22/2021,Keksec - Simps
95bf4ceda31d3e59f248abff403f0804ea2d9dd052596ba898dcd195ffa066f8,sha256,4/17/2021,4/21/2021,Keksec - Simps
8366c1a16caf32982bf3c68b12f7070c8a3b3f1f64555885833cf72678e9b2d4,sha256,5/4/2021,5/6/2021,Keksec - Simps
462139e5e517df2ce99167e650ebc1c561de3461afbde3cebaf134b7d755ada4,sha256,4/10/2021,4/10/2021,Keksec - Simps
a15012895c3ef1a657f1401424ba89c0f871a43653dbe69c20d2b8e2580a57e1,sha256,5/4/2021,5/4/2021,Keksec - Simps
2cf160f1b5018e26d1e4cee8b8f958c94cd2fd9e88db3e2d32ac94dc1ab7e6f9,sha256,4/12/2021,4/12/2021,Keksec - Simps
68f14652a43b79a5a4b30745fb9a8b2234ee7c239b082a52bfeb4714bb820b6d,sha256,5/19/2021,5/19/2021,Keksec - Simps
42ce930a1170eea23ecab624699ff2b6465579d3601e44684e1312e1f37fb796,sha256,4/27/2021,4/27/2021,Keksec - Simps
d75ec3a5d344154c0a05793740f075a802422be0c6ffc25e4027e9bae2b1421c,sha256,5/4/2021,5/4/2021,Keksec - Simps
28391e33478c0a8b381acb04041e3890eaf17351d511b96c819fbd2ee82eaa41,sha256,4/19/2021,4/22/2021,Keksec - Simps
fde10c6a119b47c7438352e22be2a9e469069a56b3d85937a7ad1d1b6c066588,sha256,4/12/2021,4/12/2021,Keksec - Simps
b2558c6f895844b6c493a05d8d5874e78c2dd4e290289f9952e32b2f6a7e51f0,sha256,4/27/2021,4/27/2021,Keksec - Simps
3722a98f5ad81035b91fe1e8e9220003d568b287fd70beb11dfcb31db4b2e1b6,sha256,5/21/2021,5/21/2021,Keksec - Simps
73b0b0631cbd6f3107a1d65c23e8fca46d38da7abf8f5ca2a7326e92cdcf8132,sha256,5/21/2021,5/21/2021,Keksec - Simps
9f5196af16f05e5f349e0d4908657a16be5613f24bdde86a985827fec193f602,sha256,5/21/2021,5/21/2021,Keksec - Simps
5ea1b2009bcd27b0d73aba03889909b2fac6e39f333d3b33a3aaa0d86d33f922,sha256,5/21/2021,5/21/2021,Keksec - Simps
fca16a2064edb94b4bd0f28095c0e68efabed7fcbf50239addab6f01f2758b7f,sha256,5/21/2021,5/21/2021,Keksec - Simps
