host,type,connected_redis_instances,firstseen,lastseen,ports,commands
135.78.199.40,redis_scanner,1,2020-09-18 00:00:00,2020-09-18 00:00:00,(high ports),[u'client']
135.77.15.151,redis_scanner,1,2020-09-26 00:00:00,2020-09-26 00:00:00,(high ports),[u'client']
135.70.235.73,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
135.7.17.159,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
135.62.55.172,redis_scanner,1,2020-09-05 00:00:00,2020-09-05 00:00:00,(high ports),[u'client']
135.59.196.200,redis_scanner,1,2020-08-28 00:00:00,2020-08-28 00:00:00,(high ports),[u'client']
135.58.23.99,redis_scanner,1,2020-09-19 00:00:00,2020-09-19 00:00:00,(high ports),[u'client']
135.57.126.105,redis_scanner,1,2020-09-20 00:00:00,2020-09-20 00:00:00,(high ports),[u'client']
135.56.245.15,redis_scanner,1,2020-08-24 00:00:00,2020-08-24 00:00:00,(high ports),[u'client']
135.56.220.10,redis_scanner,1,2020-09-28 00:00:00,2020-09-28 00:00:00,(high ports),[u'client']
135.54.17.252,redis_scanner,1,2020-09-02 00:00:00,2020-09-02 00:00:00,(high ports),[u'client']
135.52.109.47,redis_scanner,1,2020-09-09 00:00:00,2020-09-09 00:00:00,(high ports),[u'client']
135.39.223.135,redis_scanner,1,2020-09-25 00:00:00,2020-09-25 00:00:00,(high ports),[u'client']
135.36.69.141,redis_scanner,1,2020-09-22 00:00:00,2020-09-22 00:00:00,(high ports),[u'client']
135.27.89.206,redis_scanner,1,2020-09-15 00:00:00,2020-09-15 00:00:00,(high ports),[u'client']
135.255.92.235,redis_scanner,1,2020-09-14 00:00:00,2020-09-14 00:00:00,(high ports),[u'client']
135.253.59.29,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
135.252.179.50,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
135.247.96.211,redis_scanner,1,2020-09-12 00:00:00,2020-09-12 00:00:00,(high ports),[u'client']
135.246.173.74,redis_scanner,1,2020-08-24 00:00:00,2020-08-24 00:00:00,(high ports),[u'client']
135.244.179.64,redis_scanner,1,2020-09-27 00:00:00,2020-09-27 00:00:00,(high ports),[u'client']
135.243.42.254,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
135.243.222.18,redis_scanner,1,2020-08-29 00:00:00,2020-08-29 00:00:00,(high ports),[u'client']
135.242.66.129,redis_scanner,1,2020-09-29 00:00:00,2020-09-29 00:00:00,(high ports),[u'client']
135.240.98.58,redis_scanner,1,2020-09-06 00:00:00,2020-09-06 00:00:00,(high ports),[u'client']
135.237.130.70,redis_scanner,1,2020-09-24 00:00:00,2020-09-24 00:00:00,(high ports),[u'client']
